X401,X402,X403,X405,YY1,Y1
5,5,1,5,182,1822
5,5,1,5,182,1823
5,5,1,5,182,1824
5,5,1,5,182,1825
1,5,5,5,183,1831
1,5,5,5,183,1832
1,5,5,5,183,1833
1,5,5,5,183,1834
1,5,5,5,183,1835
5,5,5,1,184,1841
5,5,5,1,184,1842
5,5,5,1,184,1843
5,5,5,1,184,1844
5,5,5,1,184,1845
3,5,5,1,185,1851
3,5,5,1,185,1852
3,5,5,1,185,1853
3,5,5,1,185,1854
3,5,5,1,185,1855
3,1,1,1,186,1861
3,1,1,1,186,1862
3,1,1,1,186,1863
3,1,1,1,186,1864
3,1,1,1,186,1865
5,5,5,5,187,1871
5,5,5,5,187,1872
5,5,5,5,187,1873
5,5,5,5,187,1874
5,5,5,5,187,1875
5,5,5,5,188,1881
5,5,5,5,188,1882
5,5,5,5,188,1883
5,5,5,5,188,1884
5,5,5,5,188,1885
5,5,1,1,189,1891
5,5,1,1,189,1892
5,5,1,1,189,1893
5,5,1,1,189,1894
5,5,1,1,189,1895
3,5,1,1,190,1901
3,5,1,1,190,1902
3,5,1,1,190,1903
3,5,1,1,190,1904
3,5,1,1,190,1905
1,5,1,1,191,1911
1,5,1,1,191,1912
1,5,1,1,191,1913
1,5,1,1,191,1914
1,5,1,1,191,1915
1,5,5,1,192,1921
1,5,5,1,192,1922
1,5,5,1,192,1923
1,5,5,1,192,1924
1,5,5,1,192,1925
1,5,1,1,193,1931
1,5,1,1,193,1932
1,5,1,1,193,1933
1,5,1,1,193,1934
1,5,1,1,193,1935
3,5,5,5,194,1941
3,5,5,5,194,1942
3,5,5,5,194,1943
3,5,5,5,194,1944
3,5,5,5,194,1945
1,1,5,1,195,1951
1,1,5,1,195,1952
1,1,5,1,195,1953
1,1,5,1,195,1954
1,1,5,1,195,1955
3,5,5,1,196,1961
3,5,5,1,196,1962
3,5,5,1,196,1963
3,5,5,1,196,1964
3,5,5,1,196,1965
5,5,5,5,197,1971
5,5,5,5,197,1972
5,5,5,5,197,1973
5,5,5,5,197,1974
5,5,5,5,197,1975
5,5,5,5,198,1981
5,5,5,5,198,1982
5,5,5,5,198,1983
5,5,5,5,198,1984
5,5,5,5,198,1985
1,1,5,1,199,1991
1,1,5,1,199,1992
1,1,5,1,199,1993
1,1,5,1,199,1994
1,1,5,1,199,1995
1,5,5,5,200,2001
1,5,5,5,200,2002
1,5,5,5,200,2003
1,5,5,5,200,2004
1,5,5,5,200,2005
5,5,1,5,201,2011
5,5,1,5,201,2012
5,5,1,5,201,2013
5,5,1,5,201,2014
5,5,1,5,201,2015
3,5,1,1,202,2021
3,5,1,1,202,2022
3,5,1,1,202,2023
3,5,1,1,202,2024
3,5,1,1,202,2025
1,5,1,1,203,2031
1,5,1,1,203,2032
1,5,1,1,203,2033
1,5,1,1,203,2034
1,5,1,1,203,2035
3,5,1,1,204,2041
3,5,1,1,204,2042
3,5,1,1,204,2043
3,5,1,1,204,2044
