Y1,YY1,X401,X402,X403,X405
1402,140,5,5,5,1
1403,140,5,5,5,1
1404,140,5,5,5,1
1405,140,5,5,5,1
1411,141,3,5,5,1
1412,141,3,5,5,1
1413,141,3,5,5,1
1414,141,3,5,5,1
1415,141,3,5,5,1
1421,142,3,5,1,1
1422,142,3,5,1,1
1423,142,3,5,1,1
1424,142,3,5,1,1
1425,142,3,5,1,1
1431,143,3,5,5,5
1432,143,3,5,5,5
1433,143,3,5,5,5
1434,143,3,5,5,5
1435,143,3,5,5,5
1441,144,3,5,1,1
1442,144,3,5,1,1
1443,144,3,5,1,1
1444,144,3,5,1,1
1445,144,3,5,1,1
1451,145,3,5,5,5
1452,145,3,5,5,5
1453,145,3,5,5,5
1454,145,3,5,5,5
1455,145,3,5,5,5
1461,146,3,5,5,5
1462,146,3,5,5,5
1463,146,3,5,5,5
1464,146,3,5,5,5
1465,146,3,5,5,5
1471,147,5,5,5,1
1472,147,5,5,5,1
1473,147,5,5,5,1
1474,147,5,5,5,1
1475,147,5,5,5,1
1481,148,1,1,1,1
1482,148,1,1,1,1
1483,148,1,1,1,1
1484,148,1,1,1,1
1485,148,1,1,1,1
1491,149,5,5,5,5
1492,149,5,5,5,5
1493,149,5,5,5,5
1494,149,5,5,5,5
1495,149,5,5,5,5
1501,150,3,5,5,1
1502,150,3,5,5,1
1503,150,3,5,5,1
1504,150,3,5,5,1
1505,150,3,5,5,1
1511,151,1,5,5,1
1512,151,1,5,5,1
1513,151,1,5,5,1
1514,151,1,5,5,1
1515,151,1,5,5,1
1521,152,3,5,1,1
1522,152,3,5,1,1
1523,152,3,5,1,1
1524,152,3,5,1,1
1525,152,3,5,1,1
1531,153,1,1,1,5
1532,153,1,1,1,5
1533,153,1,1,1,5
1534,153,1,1,1,5
1535,153,1,1,1,5
1541,154,5,5,5,1
1542,154,5,5,5,1
1543,154,5,5,5,1
1544,154,5,5,5,1
1545,154,5,5,5,1
1551,155,5,5,5,1
1552,155,5,5,5,1
1553,155,5,5,5,1
1554,155,5,5,5,1
1555,155,5,5,5,1
1561,156,1,5,1,1
1562,156,1,5,1,1
1563,156,1,5,1,1
1564,156,1,5,1,1
